sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 22, 2026 10:24:05

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +fifo_ack:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     44(37)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     44(41)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_f9db9b463f784e0ead4594b0b8e61d81	 1178(1007)	   144(144)	   142(103)	   932(823)	     0(0)	     7(0)	     0(0)	
       +bram_u2:bram_wrapper_fifo_f9db9b463f784e0ead4594b0b8e61d81	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
        +u_efx_fifo_top:efx_fifo_top_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,DEPTH=64,DATA_WIDTH=1,PIPELINE_REG=0,OPTIONAL_FLAGS=0,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=62,PROG_FULL_NEGATE=62,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      57(0)	       0(0)	      13(0)	      29(0)	     0(0)	     1(0)	     0(0)	
         +xefx_fifo_ram:efx_fifo_ram_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       1(1)	       0(0)	       0(0)	       1(1)	     0(0)	     1(1)	     0(0)	
