sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 16, 2026 09:48:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     42(38)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_67b4838ef8d24a1cbca605088ccb273e	 1150(1150)	   146(146)	   103(103)	   807(790)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     17(17)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_67b4838ef8d24a1cbca605088ccb273e(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	      10(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_67b4838ef8d24a1cbca605088ccb273e 	     11(11)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=50000)	     70(70)	       0(0)	     48(48)	   536(536)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_HSIZE_SOURCE=2560,IMAGE_VSIZE_SOURCE=720,IMAGE_HSIZE_TARGET=2560,IMAGE_YSIZE_TARGET=720,PIXEL_DATA_WIDTH=8)	     35(35)	       0(0)	     23(23)	     29(29)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=1843200,C_W_WIDTH=8,C_R_WIDTH=16)	   368(211)	      42(2)	    101(24)	    201(81)	     0(0)	    16(0)	     0(0)	
  +Gen_FIFO_W8.u_W0_FIFO_8:W0_FIFO_8                        	      79(0)	      20(0)	      45(0)	      60(0)	     0(0)	     8(0)	     0(0)	
